,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-01 20:20,Hamad International Airport,DOH,2024-05-02 00:20,240,Boeing 787,Qatar Airways,https://www.gstatic.com/flights/airline_logos/70px/QR.png,Economy,QR 427,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 154 kg"
0,Hamad International Airport,DOH,2024-05-02 07:15,Haneda Airport,HND,2024-05-02 23:55,640,Boeing 787,JAL,https://www.gstatic.com/flights/airline_logos/70px/JL.png,Economy,JL 50,33 in,"Above average legroom (33 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 665 kg"
