,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-01 22:05,Istanbul Airport,IST,2024-05-02 00:05,120,Airbus A330,Turkish Airlines,https://www.gstatic.com/flights/airline_logos/70px/TK.png,Economy,TK 827,33 in,"Above average legroom (33 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 127 kg"
0,Istanbul Airport,IST,2024-05-02 02:00,Kansai International Airport,KIX,2024-05-02 19:00,660,Boeing 787,Turkish Airlines,https://www.gstatic.com/flights/airline_logos/70px/TK.png,Economy,TK 86,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat USB outlet, On-demand video, Carbon emissions estimate: 620 kg"
0,Kansai International Airport,KIX,2024-05-03 07:00,Haneda Airport,HND,2024-05-03 08:10,70,Boeing 787-10,ANA,https://www.gstatic.com/flights/airline_logos/70px/NH.png,Economy,NH 94,30 in,"Average legroom (30 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 64 kg"
