,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-01 22:05,Istanbul Airport,IST,2024-05-02 00:05,120,Airbus A330,Turkish Airlines,https://www.gstatic.com/flights/airline_logos/70px/TK.png,Economy,TK 827,33 in,"Above average legroom (33 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 127 kg"
0,Istanbul Airport,IST,2024-05-02 02:00,Haneda Airport,HND,2024-05-02 19:20,680,Boeing 777,Turkish Airlines,https://www.gstatic.com/flights/airline_logos/70px/TK.png,Economy,TK 198,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 822 kg"
