,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-10 19:40,Dubai International Airport,DXB,2024-05-11 00:35,235,Boeing 777,Emirates,https://www.gstatic.com/flights/airline_logos/70px/EK.png,Economy,EK 954,32 in,"Above average legroom (32 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 200 kg"
0,Dubai International Airport,DXB,2024-05-11 22:55,Hong Kong International Airport,HKG,2024-05-12 10:20,445,Boeing 777,Cathay Pacific,https://www.gstatic.com/flights/airline_logos/70px/CX.png,Economy,CX 738,32 in,"Above average legroom (32 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 510 kg"
0,Hong Kong International Airport,HKG,2024-05-12 16:20,Haneda Airport,HND,2024-05-12 21:35,255,Boeing 777,Cathay Pacific,https://www.gstatic.com/flights/airline_logos/70px/CX.png,Economy,CX 542,32 in,"Above average legroom (32 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 265 kg"
