,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-10 16:00,Paris Charles de Gaulle Airport,CDG,2024-05-10 19:40,280,Airbus A330,Air France,https://www.gstatic.com/flights/airline_logos/70px/AF.png,Economy,AF 565,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 290 kg"
0,Paris Charles de Gaulle Airport,CDG,2024-05-10 22:00,Haneda Airport,HND,2024-05-11 18:30,810,Boeing 777,Air France,https://www.gstatic.com/flights/airline_logos/70px/AF.png,Economy,AF 274,32 in,"Above average legroom (32 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 833 kg"
