,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-10 01:40,Hamad International Airport,DOH,2024-05-10 05:40,240,Boeing 787,Qatar Airways,https://www.gstatic.com/flights/airline_logos/70px/QR.png,Economy,QR 419,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 129 kg"
0,Hamad International Airport,DOH,2024-05-10 07:15,Haneda Airport,HND,2024-05-10 23:55,640,Boeing 787,JAL,https://www.gstatic.com/flights/airline_logos/70px/JL.png,Economy,JL 50,33 in,"Above average legroom (33 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 665 kg"
