,da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,additional_information
0,Beirut-Rafic Al Hariri International Airport,BEY,2024-05-10 15:25,Zayed International Airport,AUH,2024-05-10 19:35,190,Airbus A320,MEA,https://www.gstatic.com/flights/airline_logos/70px/ME.png,Economy,ME 418,32 in,"Above average legroom (32 in), On-demand video, Carbon emissions estimate: 224 kg"
0,Zayed International Airport,AUH,2024-05-10 21:25,Kansai International Airport,KIX,2024-05-11 11:55,570,Boeing 787,Etihad,https://www.gstatic.com/flights/airline_logos/70px/EY.png,Economy,EY 814,31 in,"Average legroom (31 in), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 544 kg"
0,Kansai International Airport,KIX,2024-05-11 14:15,Haneda Airport,HND,2024-05-11 15:40,85,Airbus A320,ANA,https://www.gstatic.com/flights/airline_logos/70px/NH.png,Economy,NH 3824,34 in,"Above average legroom (34 in), In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 86 kg"
